|	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	|
|	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	⚲	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	:	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	:	:	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	:	:	:	:	:	:	:	#	#	#	ᵔ	:	:	:	:	:	:	ᵔ	|
|	:	:	~	:	:	~	~	#	#	#	~	~	:	~	~	~	~	~	|
|	~	~	~	~	~	~	~	#	#	#	~	~	~	~	~	~	~	~	|
|	~	~	~	~	~	~	~	#	#	#	~	~	~	~	~	~	~	~	|
|	~	~	~	~	~	~	~	#	#	#	~	~	~	~	~	~	~	~	|
|	~	~	~	~	~	~	~	#	#	#	~	~	~	~	~	~	~	~	|
|	~	~	~	~	~	~	~	#	#	#	~	~	~	~	~	~	~	~	|
|	~	~	~	~	~	~	~	~	#	#	~	~	~	~	~	~	~	~	|
|	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	|
