|	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	|
|	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	⚲	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	-	-	-	-	-	-	-	-	-	-	-	-	-	,	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	|	,	,	,	,	|
|	-	-	-	-	_	-	-	-	-	-	-	-	-	|	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	⚲	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	|
|	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	|
